Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total,"1,130,818","211,859","144,034","535,554","47,879","177,368","14,124"
Afghanistan,"1,850",113,931,506,30,264,6
Albania,"4,847",144,73,"1,884","1,775",963,8
Algeria,"1,368",40,38,420,809,50,11
Angola,149,9,11,79,9,41,-
Anguilla,26,D,D,13,-,-,-
Antigua-Barbuda,486,150,10,323,D,-,D
Argentina,"5,672",155,"1,532","3,408",53,508,16
Armenia,"3,447",161,175,"1,094",913,"1,068",36
Aruba,53,9,6,32,D,D,-
Australia,"3,098",127,934,"1,808",218,6,5
Austria,"6,260",39,184,285,52,"5,694",6
Azerbaijan,538,19,34,215,85,173,12
Bahamas,820,106,62,625,7,7,13
Bahrain,151,24,43,81,3,-,-
Bangladesh,"16,359","7,264",827,"5,074","2,897",222,75
Barbados,650,157,D,432,D,D,-
Belarus,"2,389",46,173,717,685,656,112
Belgium,764,30,289,355,67,22,1
Belize,"1,073",254,54,748,4,7,6
Benin,534,4,11,178,184,154,3
Bermuda,152,9,46,96,-,-,1
Bhutan,54,-,7,13,6,28,-
Bolivia,"2,789",333,516,"1,712",47,174,7
Bosnia-Herzegovina,"1,048",15,59,707,37,228,2
Botswana,102,D,24,35,24,D,-
Brazil,"14,428",279,"3,066","10,609",7,427,40
British Virgin Islands,91,48,5,37,-,-,1
Brunei,33,5,12,12,D,D,-
Bulgaria,"3,015",83,387,"1,594",741,195,15
Burkina Faso,446,D,18,228,117,75,D
Burma,"2,130",299,78,600,213,940,-
Burundi,595,-,D,32,D,541,-
Cambodia,"3,811",344,48,"3,004",71,333,11
Cameroon,"3,400",52,106,944,"1,293",990,15
Canada,"22,508","1,902","10,282","9,611",337,120,256
Cape Verde,"2,218",869,17,"1,318",8,4,2
Cayman Islands,106,21,11,62,D,D,-
Central African Republic,115,-,D,17,D,94,-
Chad,80,-,D,23,D,49,-
Chile,"2,240",160,403,"1,503",16,151,7
"China, People's Republic","60,896","10,273","9,986","22,461",25,"18,067",84
Colombia,"27,221","3,079","2,628","17,354",10,"4,084",66
"Congo, Democratic Republic",926,13,27,93,395,397,1
"Congo, Republic",945,19,17,179,274,454,2
Costa Rica,"2,552",164,236,"1,967",4,174,7
Cote d'Ivoire,"3,496",47,44,645,494,"2,192",74
Croatia,591,13,86,236,24,229,3
Cuba,"38,111",978,13,"3,313",176,"33,596",35
Cyprus,182,D,81,80,10,D,-
Czech Republic,124,7,36,62,14,D,D
Czechoslovakia (former),850,12,125,678,21,11,3
